timestamp_utc,pollutant_value,pollutant_unit,latitude,longitude,location_name,parameter_name
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T19:00:00+07:00'}",9.4,,18.7888833,100.7763166,,
"{'utc': '2024-07-30T10:00:00Z', 'local': '2024-07-30T12:00:00+02:00'}",6.88,,50.65406600025244,10.76953400035172,,
"{'utc': '2024-07-30T11:00:00Z', 'local': '2024-07-30T13:00:00+02:00'}",4.34,,47.913256000093746,7.908035000221121,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",-1.0,,47.815854999743216,13.720736999564965,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",16.0,,-14.806034,-71.414847,,
"{'utc': '2024-07-30T11:00:00Z', 'local': '2024-07-30T13:00:00+02:00'}",3.53,,54.924966999767136,8.308208000317988,,
"{'utc': '2024-07-11T14:00:00Z', 'local': '2024-07-11T23:00:00+09:00'}",12.0,,37.433297,129.19049599999997,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",1.105,,51.09763799992601,6.46946300030611,,
"{'utc': '2024-07-11T16:00:00Z', 'local': '2024-07-12T01:00:00+09:00'}",9999.0,,36.767778,127.605,,
"{'utc': '2022-02-09T00:00:00Z', 'local': '2022-02-08T19:00:00-05:00'}",14.9495628718027,,40.4783,-79.970377,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",4.9,,59.3667459,17.9688665,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",7.0,,34.811454,126.483199,,
"{'utc': '2018-09-10T22:00:00Z', 'local': '2018-09-10T15:00:00-07:00'}",3.0,,38.932993,-119.971733,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",11.0,,37.433297,129.19049599999997,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T15:30:00+05:30'}",22.0,,21.51161,86.89088,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",6.603422603436879,,40.740022,-73.998504,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",0.9916666666666667,,36.212814,-118.8134089,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T07:00:00-05:00'}",2.9,,29.864581,-97.664869,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T07:00:00-05:00'}",0.9,,29.862294,-97.928894,,
"{'utc': '2024-12-20T14:00:00Z', 'local': '2024-12-20T08:00:00-06:00'}",2.9,,30.666508,-97.734592,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T07:00:00-05:00'}",7.7,,30.579149,-97.416462,,
"{'utc': '2024-01-29T20:00:00Z', 'local': '2024-01-29T21:00:00+01:00'}",9.75,,50.84966500000001,4.33382,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",6.0,,35.177167,127.175167,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",8.0,,36.828034,127.104606,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",1.629166666666667,,51.111194,4.3623073,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",5.5,,42.702223,-73.110414,,
"{'utc': '2024-03-15T17:00:00Z', 'local': '2024-03-15T13:00:00-04:00'}",7.0,,35.581007682165485,-80.90851032043253,,
"{'utc': '2025-10-03T13:00:00Z', 'local': '2025-10-03T08:00:00-05:00'}",24.0,,32.805818,-97.356567,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",16.52833333015442,,52.207899,21.148612,,
"{'utc': '2024-01-29T18:00:00Z', 'local': '2024-01-29T19:00:00+01:00'}",23.70000076,,48.12027777946647,14.878332999999996,,
"{'utc': '2025-09-19T19:59:37Z', 'local': '2025-09-19T12:59:37-07:00'}",7.06,,32.56663,-117.01885,,
"{'utc': '2025-09-03T04:32:13Z', 'local': '2025-09-02T21:32:13-07:00'}",4.83,,32.56676,-117.06452,,
"{'utc': '2025-10-04T10:15:00Z', 'local': '2025-10-04T15:45:00+05:30'}",0.0,,23.567923,87.306843,,
"{'utc': '2025-02-27T22:50:40Z', 'local': '2025-02-27T14:50:40-08:00'}",2.94,,32.56513,-117.04539,,
"{'utc': '2021-11-10T17:00:00Z', 'local': '2021-11-10T10:00:00-07:00'}",4.8,,31.768056,-106.501111,,
"{'utc': '2025-09-03T04:06:05Z', 'local': '2025-09-02T21:06:05-07:00'}",5.24,,32.56193,-117.05775,,
"{'utc': '2025-09-19T19:56:18Z', 'local': '2025-09-19T12:56:18-07:00'}",7.33,,32.55865,-117.04821,,
"{'utc': '2025-09-19T19:58:42Z', 'local': '2025-09-19T12:58:42-07:00'}",8.47,,32.54631,-117.04527,,
"{'utc': '2025-09-19T20:01:45Z', 'local': '2025-09-19T13:01:45-07:00'}",7.47,,32.5473,-117.03227,,
"{'utc': '2025-09-19T20:03:32Z', 'local': '2025-09-19T13:03:32-07:00'}",7.82,,32.54931,-117.04225,,
"{'utc': '2023-01-26T20:00:00Z', 'local': '2023-01-26T13:00:00-07:00'}",1.0,,43.627929,-108.218095,,
"{'utc': '2022-07-11T05:15:00Z', 'local': '2022-07-11T10:45:00+05:30'}",17.5,,18.517754,73.8214883,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",13.2,,38.754595,-82.917,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",8.0,,35.8583333333,128.58972222219998,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",9999.0,,35.837878999999994,128.488731,,
